	id	indra_time	browser_latency	reading_time	attention_esense	meditation_esense	eeg_power	raw_values	signal_quality	createdAt	updatedAt	label
3730	12	13:42.3	1461	13:41.0	0	0	"[944412.0, 111373.0, 52404.0, 28390.0, 3237.0, 32728.0, 4845.0, 2036.0]"	"[-203.0, -202.0, -196.0, -185.0, -163.0, -137.0, -110.0, -70.0, -41.0, -28.0, -6.0, 35.0, 84.0, 105.0, 134.0, 171.0, 221.0, 233.0, 226.0, 242.0, 247.0, 221.0, 209.0, 217.0, 228.0, 205.0, 165.0, 155.0, 194.0, 224.0, 243.0, 258.0, 261.0, 261.0, 257.0, 266.0, 280.0, 250.0, 186.0, 131.0, 120.0, 123.0, 102.0, 60.0, 17.0, -19.0, -4.0, 6.0, -34.0, -70.0, -84.0, -89.0, -99.0, -106.0, -102.0, -109.0, -132.0, -151.0, -185.0, -211.0, -209.0, -194.0, -212.0, -231.0, -225.0, -205.0, -193.0, -163.0, -131.0, -108.0, -81.0, -56.0, -38.0, -24.0, -23.0, -22.0, -4.0, 8.0, 23.0, 54.0, 91.0, 121.0, 129.0, 131.0, 146.0, 168.0, 219.0, 275.0, 310.0, 308.0, 294.0, 296.0, 306.0, 296.0, 253.0, 208.0, 188.0, 185.0, 181.0, 170.0, 131.0, 116.0, 137.0, 129.0, 75.0, 66.0, 75.0, 77.0, 82.0, 104.0, 134.0, 121.0, 84.0, 49.0, 25.0, 0.0, -27.0, -52.0, -71.0, -94.0, -115.0, -131.0, -142.0, -162.0, -186.0, -209.0, -225.0, -204.0, -181.0, -165.0, -153.0, -145.0, -117.0, -91.0, -90.0, -86.0, -72.0, -73.0, -74.0, -60.0, -83.0, -125.0, -117.0, -60.0, -10.0, 17.0, 20.0, 9.0, 20.0, 50.0, 80.0, 91.0, 100.0, 120.0, 147.0, 151.0, 156.0, 176.0, 180.0, 165.0, 179.0, 208.0, 200.0, 151.0, 121.0, 135.0, 145.0, 124.0, 92.0, 64.0, 53.0, 71.0, 96.0, 99.0, 82.0, 36.0, -7.0, -36.0, -60.0, -67.0, -67.0, -81.0, -92.0, -83.0, -65.0, -74.0, -109.0, -146.0, -180.0, -200.0, -189.0, -155.0, -138.0, -131.0, -145.0, -163.0, -161.0, -145.0, -134.0, -122.0, -102.0, -73.0, -74.0, -72.0, -72.0, -97.0, -117.0, -109.0, -76.0, -27.0, 8.0, 8.0, 25.0, 60.0, 87.0, 90.0, 68.0, 58.0, 100.0, 149.0, 170.0, 170.0, 170.0, 166.0, 170.0, 192.0, 196.0, 192.0, 203.0, 218.0, 229.0, 227.0, 244.0, 265.0, 261.0, 253.0, 251.0, 262.0, 282.0, 283.0, 268.0, 256.0, 249.0, 224.0, 171.0, 130.0, 123.0, 131.0, 129.0, 113.0, 99.0, 85.0, 55.0, 44.0, 61.0, 68.0, 52.0, 29.0, 35.0, 48.0, 73.0, 98.0, 96.0, 73.0, 58.0, 22.0, -28.0, -55.0, -57.0, -66.0, -97.0, -134.0, -135.0, -137.0, -124.0, -83.0, -21.0, 40.0, 88.0, 124.0, 162.0, 194.0, 200.0, 189.0, 151.0, 119.0, 99.0, 66.0, 55.0, 74.0, 72.0, 37.0, -6.0, -33.0, -13.0, -8.0, -46.0, -76.0, -54.0, -25.0, -34.0, -41.0, -33.0, -40.0, -67.0, -67.0, -57.0, -52.0, -37.0, -6.0, 23.0, 19.0, 11.0, 39.0, 73.0, 83.0, 91.0, 101.0, 115.0, 124.0, 115.0, 86.0, 49.0, 1.0, -44.0, -69.0, -81.0, -59.0, -18.0, -13.0, -37.0, -53.0, -45.0, -19.0, 26.0, 52.0, 56.0, 69.0, 113.0, 149.0, 163.0, 170.0, 162.0, 129.0, 92.0, 76.0, 68.0, 49.0, 28.0, 6.0, -29.0, -39.0, -24.0, -41.0, -76.0, -99.0, -102.0, -89.0, -59.0, -27.0, -29.0, -45.0, -39.0, -13.0, 1.0, -12.0, -34.0, -28.0, -24.0, -49.0, -78.0, -103.0, -114.0, -131.0, -122.0, -82.0, -56.0, -49.0, -23.0, 11.0, 52.0, 64.0, 48.0, 48.0, 61.0, 65.0, 60.0, 80.0, 106.0, 121.0, 105.0, 87.0, 99.0, 113.0, 122.0, 131.0, 134.0, 152.0, 176.0, 195.0, 215.0, 235.0, 241.0, 217.0, 211.0, 221.0, 218.0, 181.0, 160.0, 156.0, 140.0, 122.0, 93.0, 65.0, 66.0, 43.0, 16.0, -4.0, -20.0, -37.0, -57.0, -70.0, -81.0, -83.0, -86.0, -87.0, -90.0, -103.0, -121.0, -139.0, -149.0, -136.0, -120.0, -125.0, -139.0, -151.0, -158.0, -169.0, -167.0, -120.0, -72.0, -52.0, -38.0, -9.0, 23.0, 59.0, 71.0, 59.0, 58.0, 58.0, 41.0, 25.0, 16.0, 7.0, -2.0, 32.0, 81.0, 107.0, 109.0, 103.0, 108.0, 133.0, 150.0, 148.0, 136.0, 128.0, 107.0, 102.0, 116.0, 113.0, 81.0, 9.0, -39.0, -43.0, -34.0, -58.0, -90.0, -103.0, -105.0, -115.0, -117.0, -107.0, -86.0, -75.0, -86.0, -103.0, -124.0, -130.0, -106.0, -104.0, -104.0, -91.0, -99.0, -117.0, -110.0, -76.0, -55.0, -77.0, -113.0, -120.0, -104.0, -97.0, -61.0, -17.0, -13.0, -51.0, -77.0, -62.0, -22.0, 20.0, 44.0, 67.0]"	200	13:39.5	2015-05-09 23:13:39.549+00	unlabeled
3732	12	13:43.2	1461	13:42.0	0	0	"[1793049.0, 89551.0, 3896.0, 21727.0, 9301.0, 16096.0, 3496.0, 643.0]"	"[104.0, 134.0, 128.0, 121.0, 145.0, 151.0, 123.0, 116.0, 165.0, 230.0, 262.0, 236.0, 221.0, 234.0, 259.0, 275.0, 284.0, 292.0, 296.0, 308.0, 322.0, 332.0, 320.0, 260.0, 183.0, 145.0, 137.0, 135.0, 137.0, 150.0, 162.0, 154.0, 155.0, 195.0, 260.0, 321.0, 346.0, 338.0, 309.0, 292.0, 307.0, 298.0, 232.0, 118.0, 11.0, -67.0, -116.0, -137.0, -132.0, -124.0, -157.0, -193.0, -185.0, -156.0, -158.0, -178.0, -183.0, -212.0, -248.0, -235.0, -216.0, -209.0, -221.0, -247.0, -235.0, -204.0, -183.0, -171.0, -167.0, -140.0, -130.0, -150.0, -167.0, -166.0, -165.0, -195.0, -226.0, -250.0, -254.0, -260.0, -270.0, -245.0, -162.0, -70.0, 5.0, 85.0, 160.0, 216.0, 259.0, 299.0, 359.0, 406.0, 417.0, 400.0, 368.0, 369.0, 359.0, 321.0, 275.0, 233.0, 216.0, 231.0, 241.0, 212.0, 178.0, 147.0, 112.0, 66.0, -5.0, -85.0, -140.0, -198.0, -261.0, -321.0, -378.0, -452.0, -549.0, -658.0, -741.0, -807.0, -860.0, -915.0, -980.0, -1037.0, -1085.0, -1116.0, -1171.0, -1228.0, -1271.0, -1309.0, -1333.0, -1321.0, -1300.0, -1281.0, -1270.0, -1236.0, -1180.0, -1092.0, -1014.0, -969.0, -957.0, -930.0, -846.0, -760.0, -697.0, -664.0, -651.0, -630.0, -605.0, -563.0, -513.0, -441.0, -355.0, -241.0, -121.0, -33.0, 105.0, 325.0, 609.0, 916.0, 1191.0, 1275.0, 1059.0, 729.0, 480.0, 324.0, 296.0, 419.0, 660.0, 992.0, 1335.0, 1650.0, 1979.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 1996.0, 1820.0, 1660.0, 1546.0, 1412.0, 1190.0, 916.0, 630.0, 356.0, 109.0, -103.0, -302.0, -507.0, -760.0, -1042.0, -1285.0, -1434.0, -1506.0, -1523.0, -1490.0, -1426.0, -1364.0, -1337.0, -1351.0, -1384.0, -1409.0, -1414.0, -1393.0, -1305.0, -1159.0, -987.0, -773.0, -517.0, -291.0, -83.0, 119.0, 309.0, 469.0, 557.0, 553.0, 469.0, 361.0, 291.0, 247.0, 209.0, 192.0, 230.0, 385.0, 658.0, 982.0, 1332.0, 1673.0, 1968.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2035.0, 1985.0, 1914.0, 1834.0, 1766.0, 1716.0, 1665.0, 1605.0, 1538.0, 1464.0, 1399.0, 1339.0, 1281.0, 1223.0, 1141.0, 1009.0, 821.0, 581.0, 201.0, -314.0, -899.0, -1494.0, -2019.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2008.0, -1915.0, -1826.0, -1750.0, -1673.0, -1577.0, -1462.0, -1317.0, -1099.0, -764.0, -313.0, 152.0, 572.0, 947.0, 1315.0, 1664.0, 1965.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2032.0, 1972.0, 1905.0, 1835.0, 1770.0, 1706.0, 1644.0, 1586.0, 1526.0, 1465.0, 1399.0, 1323.0, 1209.0, 1059.0, 899.0, 701.0, 434.0, 189.0, 22.0, -284.0, -852.0, -1477.0, -1956.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -1942.0, -1938.0, -1995.0, -1986.0, -1921.0, -1853.0, -1794.0, -1725.0, -1627.0, -1506.0, -1356.0, -1185.0, -1031.0, -904.0, -771.0, -596.0, -386.0, -148.0, 116.0, 371.0, 586.0, 780.0, 918.0, 987.0, 1030.0, 1057.0, 1059.0, 1019.0, 952.0, 893.0, 850.0, 804.0, 797.0, 881.0, 977.0, 1032.0, 1073.0, 1165.0, 1283.0, 1354.0, 1372.0, 1386.0, 1394.0, 1353.0, 1267.0, 1205.0, 1185.0, 1205.0, 1253.0, 1274.0, 1229.0, 1139.0, 1035.0, 933.0, 824.0, 711.0, 546.0, 341.0, 140.0, -44.0, -196.0, -347.0, -548.0, -785.0, -1046.0, -1298.0, -1469.0, -1603.0, -1701.0, -1769.0, -1842.0, -1928.0, -1991.0, -2008.0, -2017.0, -2036.0, -1995.0, -1902.0, -1821.0, -1730.0, -1572.0, -1370.0, -1156.0, -892.0, -598.0, -311.0, -34.0, 248.0, 517.0, 725.0, 866.0, 937.0, 972.0, 1009.0, 1075.0, 1158.0, 1226.0, 1321.0, 1466.0, 1660.0, 1896.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2008.0, 2011.0, 1928.0, 1772.0, 1432.0, 1179.0, 1058.0, 976.0, 961.0, 925.0, 680.0, 119.0, -679.0, -1491.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -1877.0, -1341.0, -873.0, -470.0, -185.0, 9.0, 218.0, 406.0, 483.0, 341.0, -27.0, -519.0, -1011.0, -1441.0, -1720.0, -1737.0, -1502.0, -1068.0, -526.0, 71.0, 697.0, 1347.0]"	200	13:40.6	2015-05-09 23:13:40.559+00	unlabeled
3734	12	13:44.4	1461	13:42.9	0	0	"[400192.0, 640624.0, 153087.0, 69733.0, 98854.0, 199537.0, 66993.0, 51772.0]"	"[2002.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 1809.0, 1524.0, 1270.0, 1061.0, 890.0, 780.0, 770.0, 850.0, 947.0, 1028.0, 1133.0, 1296.0, 1461.0, 1557.0, 1595.0, 1591.0, 1548.0, 1479.0, 1376.0, 1233.0, 1015.0, 624.0, 83.0, -524.0, -1113.0, -1644.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2018.0, -1734.0, -1441.0, -1166.0, -907.0, -700.0, -636.0, -714.0, -825.0, -945.0, -1143.0, -1413.0, -1670.0, -1842.0, -1916.0, -1911.0, -1790.0, -1562.0, -1299.0, -1031.0, -738.0, -457.0, -243.0, -131.0, -76.0, -29.0, 8.0, 56.0, 165.0, 258.0, 305.0, 393.0, 613.0, 913.0, 1205.0, 1545.0, 1979.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2026.0, 1955.0, 1885.0, 1818.0, 1753.0, 1691.0, 1629.0, 1573.0, 1515.0, 1462.0, 1410.0, 1360.0, 1312.0, 1259.0, 1187.0, 1061.0, 854.0, 492.0, -142.0, -853.0, -1534.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2021.0, -1946.0, -1868.0, -1762.0, -1587.0, -1393.0, -1174.0, -869.0, -506.0, -129.0, 185.0, 471.0, 748.0, 1013.0, 1249.0, 1479.0, 1698.0, 1861.0, 1956.0, 2002.0, 2006.0, 1955.0, 1868.0, 1812.0, 1799.0, 1812.0, 1850.0, 1916.0, 1944.0, 2000.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2033.0, 1959.0, 1890.0, 1820.0, 1755.0, 1692.0, 1633.0, 1574.0, 1516.0, 1463.0, 1411.0, 1361.0, 1312.0, 1265.0, 1219.0, 1176.0, 1133.0, 1094.0, 1057.0, 1011.0, 886.0, 554.0, -203.0, -1299.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2007.0, -1934.0, -1864.0, -1797.0, -1732.0, -1668.0, -1606.0, -1546.0, -1490.0, -1433.0, -1380.0, -1322.0, -1202.0, -920.0, -470.0, 108.0, 472.0, 487.0, 330.0, 358.0, 722.0, 1351.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2019.0, 1947.0, 1879.0, 1812.0, 1747.0, 1684.0, 1623.0, 1565.0, 1509.0, 1456.0, 1402.0, 1352.0, 1303.0, 1256.0, 1210.0, 1168.0, 1126.0, 1084.0, 1046.0, 1009.0, 971.0, 937.0, 904.0, 873.0, 842.0, 813.0, 787.0, 752.0, 728.0, 705.0, 531.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2040.0, -1969.0, -1896.0, -1828.0, -1762.0, -1697.0, -1635.0, -1574.0, -1514.0, -1460.0, -1405.0, -1354.0, -1303.0, -1255.0, -1208.0, -1162.0, -1118.0, -1078.0, -1037.0, -1000.0, -964.0, -926.0, -891.0, -857.0, -825.0, -794.0, -764.0, -737.0, -708.0, -681.0, -654.0, -618.0, -406.0, 698.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 1937.0, 1674.0, 1282.0, 696.0, -25.0, -750.0, -1417.0, -2039.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -1340.0, 1384.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2017.0, 1944.0, 1875.0, 1809.0, 1745.0, 1682.0, 1621.0, 1564.0, 1510.0, 1460.0, 930.0, -970.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -1732.0, -1364.0, -807.0, -330.0, 93.0, 427.0, 530.0, 362.0, 48.0, -327.0, -621.0, -733.0, -546.0, -148.0, 409.0, 1224.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 1989.0, 1688.0, 1148.0, 675.0, 489.0, 316.0, 148.0, -130.0, -1035.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2048.0, -2024.0, -1953.0, -1852.0, -1397.0, -62.0, 1730.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 2047.0, 1989.0, 1920.0, 1850.0, 1784.0, 1720.0, 1658.0, 1600.0, 1542.0, 1488.0, 1433.0, 1382.0, 1334.0]"	200	13:41.5	2015-05-09 23:13:41.549+00	unlabeled
